split,sample_id,fault_type,vin,cycle_index,sample_label,sequence_length
train,LFP_normal_vin_102_vin_102_discharge_1,normal,vin_102,1,0,684
train,LFP_normal_vin_102_vin_102_discharge_2,normal,vin_102,2,0,811
train,LFP_normal_vin_102_vin_102_discharge_3,normal,vin_102,3,0,651
train,LFP_normal_vin_102_vin_102_discharge_4,normal,vin_102,4,0,701
train,LFP_normal_vin_102_vin_102_discharge_5,normal,vin_102,5,0,506
train,LFP_normal_vin_102_vin_102_discharge_6,normal,vin_102,6,0,718
train,LFP_normal_vin_102_vin_102_discharge_7,normal,vin_102,7,0,506
train,LFP_normal_vin_102_vin_102_discharge_8,normal,vin_102,8,0,915
train,LFP_normal_vin_102_vin_102_discharge_9,normal,vin_102,9,0,533
train,LFP_normal_vin_102_vin_102_discharge_10,normal,vin_102,10,0,516
train,LFP_normal_vin_103_vin_103_discharge_1,normal,vin_103,1,0,549
train,LFP_normal_vin_103_vin_103_discharge_2,normal,vin_103,2,0,876
train,LFP_normal_vin_103_vin_103_discharge_3,normal,vin_103,3,0,671
train,LFP_normal_vin_103_vin_103_discharge_4,normal,vin_103,4,0,512
train,LFP_normal_vin_103_vin_103_discharge_5,normal,vin_103,5,0,604
train,LFP_normal_vin_103_vin_103_discharge_6,normal,vin_103,6,0,587
train,LFP_normal_vin_103_vin_103_discharge_7,normal,vin_103,7,0,800
train,LFP_normal_vin_103_vin_103_discharge_8,normal,vin_103,8,0,513
train,LFP_normal_vin_103_vin_103_discharge_9,normal,vin_103,9,0,594
train,LFP_normal_vin_103_vin_103_discharge_10,normal,vin_103,10,0,491
train,LFP_normal_vin_104_vin_104_discharge_1,normal,vin_104,1,0,563
train,LFP_normal_vin_104_vin_104_discharge_2,normal,vin_104,2,0,674
train,LFP_normal_vin_104_vin_104_discharge_3,normal,vin_104,3,0,590
train,LFP_normal_vin_104_vin_104_discharge_4,normal,vin_104,4,0,567
train,LFP_normal_vin_104_vin_104_discharge_5,normal,vin_104,5,0,572
train,LFP_normal_vin_104_vin_104_discharge_6,normal,vin_104,6,0,900
train,LFP_normal_vin_104_vin_104_discharge_7,normal,vin_104,7,0,1047
train,LFP_normal_vin_104_vin_104_discharge_8,normal,vin_104,8,0,568
train,LFP_normal_vin_104_vin_104_discharge_9,normal,vin_104,9,0,766
train,LFP_normal_vin_104_vin_104_discharge_10,normal,vin_104,10,0,575
train,LFP_normal_vin_105_vin_105_discharge_1,normal,vin_105,1,0,623
train,LFP_normal_vin_105_vin_105_discharge_2,normal,vin_105,2,0,891
train,LFP_normal_vin_105_vin_105_discharge_3,normal,vin_105,3,0,723
train,LFP_normal_vin_105_vin_105_discharge_4,normal,vin_105,4,0,908
train,LFP_normal_vin_105_vin_105_discharge_5,normal,vin_105,5,0,702
train,LFP_normal_vin_105_vin_105_discharge_6,normal,vin_105,6,0,508
train,LFP_normal_vin_105_vin_105_discharge_7,normal,vin_105,7,0,519
train,LFP_normal_vin_105_vin_105_discharge_8,normal,vin_105,8,0,851
train,LFP_normal_vin_105_vin_105_discharge_9,normal,vin_105,9,0,870
train,LFP_normal_vin_105_vin_105_discharge_10,normal,vin_105,10,0,946
train,LFP_normal_vin_106_vin_106_discharge_1,normal,vin_106,1,0,523
train,LFP_normal_vin_106_vin_106_discharge_2,normal,vin_106,2,0,565
train,LFP_normal_vin_106_vin_106_discharge_3,normal,vin_106,3,0,744
train,LFP_normal_vin_106_vin_106_discharge_4,normal,vin_106,4,0,544
train,LFP_normal_vin_106_vin_106_discharge_5,normal,vin_106,5,0,784
train,LFP_normal_vin_106_vin_106_discharge_6,normal,vin_106,6,0,632
train,LFP_normal_vin_106_vin_106_discharge_7,normal,vin_106,7,0,681
train,LFP_normal_vin_106_vin_106_discharge_8,normal,vin_106,8,0,614
train,LFP_normal_vin_106_vin_106_discharge_9,normal,vin_106,9,0,582
train,LFP_normal_vin_106_vin_106_discharge_10,normal,vin_106,10,0,484
train,LFP_normal_vin_107_vin_107_discharge_1,normal,vin_107,1,0,692
train,LFP_normal_vin_107_vin_107_discharge_2,normal,vin_107,2,0,763
train,LFP_normal_vin_107_vin_107_discharge_3,normal,vin_107,3,0,854
train,LFP_normal_vin_107_vin_107_discharge_4,normal,vin_107,4,0,558
train,LFP_normal_vin_107_vin_107_discharge_5,normal,vin_107,5,0,665
train,LFP_normal_vin_107_vin_107_discharge_6,normal,vin_107,6,0,622
train,LFP_normal_vin_107_vin_107_discharge_7,normal,vin_107,7,0,487
train,LFP_normal_vin_107_vin_107_discharge_8,normal,vin_107,8,0,500
train,LFP_normal_vin_107_vin_107_discharge_9,normal,vin_107,9,0,847
train,LFP_normal_vin_107_vin_107_discharge_10,normal,vin_107,10,0,540
train,LFP_normal_vin_108_vin_108_discharge_1,normal,vin_108,1,0,751
train,LFP_normal_vin_108_vin_108_discharge_2,normal,vin_108,2,0,597
train,LFP_normal_vin_108_vin_108_discharge_3,normal,vin_108,3,0,674
train,LFP_normal_vin_108_vin_108_discharge_4,normal,vin_108,4,0,718
train,LFP_normal_vin_108_vin_108_discharge_5,normal,vin_108,5,0,639
train,LFP_normal_vin_108_vin_108_discharge_6,normal,vin_108,6,0,554
train,LFP_normal_vin_108_vin_108_discharge_7,normal,vin_108,7,0,639
train,LFP_normal_vin_108_vin_108_discharge_8,normal,vin_108,8,0,638
train,LFP_normal_vin_108_vin_108_discharge_9,normal,vin_108,9,0,529
train,LFP_normal_vin_108_vin_108_discharge_10,normal,vin_108,10,0,725
train,LFP_normal_vin_109_vin_109_discharge_1,normal,vin_109,1,0,559
train,LFP_normal_vin_109_vin_109_discharge_2,normal,vin_109,2,0,867
train,LFP_normal_vin_109_vin_109_discharge_3,normal,vin_109,3,0,914
train,LFP_normal_vin_109_vin_109_discharge_4,normal,vin_109,4,0,729
train,LFP_normal_vin_109_vin_109_discharge_5,normal,vin_109,5,0,860
train,LFP_normal_vin_109_vin_109_discharge_6,normal,vin_109,6,0,688
train,LFP_normal_vin_109_vin_109_discharge_7,normal,vin_109,7,0,562
train,LFP_normal_vin_109_vin_109_discharge_8,normal,vin_109,8,0,722
train,LFP_normal_vin_109_vin_109_discharge_9,normal,vin_109,9,0,551
train,LFP_normal_vin_109_vin_109_discharge_10,normal,vin_109,10,0,584
train,LFP_normal_vin_110_vin_110_discharge_1,normal,vin_110,1,0,592
train,LFP_normal_vin_110_vin_110_discharge_2,normal,vin_110,2,0,762
train,LFP_normal_vin_110_vin_110_discharge_3,normal,vin_110,3,0,919
train,LFP_normal_vin_110_vin_110_discharge_4,normal,vin_110,4,0,586
train,LFP_normal_vin_110_vin_110_discharge_5,normal,vin_110,5,0,863
train,LFP_normal_vin_110_vin_110_discharge_6,normal,vin_110,6,0,688
train,LFP_normal_vin_110_vin_110_discharge_7,normal,vin_110,7,0,620
train,LFP_normal_vin_110_vin_110_discharge_8,normal,vin_110,8,0,781
train,LFP_normal_vin_110_vin_110_discharge_9,normal,vin_110,9,0,525
train,LFP_normal_vin_110_vin_110_discharge_10,normal,vin_110,10,0,722
train,LFP_normal_vin_112_vin_112_discharge_1,normal,vin_112,1,0,667
train,LFP_normal_vin_112_vin_112_discharge_2,normal,vin_112,2,0,795
train,LFP_normal_vin_112_vin_112_discharge_3,normal,vin_112,3,0,538
train,LFP_normal_vin_112_vin_112_discharge_4,normal,vin_112,4,0,645
train,LFP_normal_vin_112_vin_112_discharge_5,normal,vin_112,5,0,570
train,LFP_normal_vin_112_vin_112_discharge_6,normal,vin_112,6,0,646
train,LFP_normal_vin_112_vin_112_discharge_7,normal,vin_112,7,0,519
train,LFP_normal_vin_112_vin_112_discharge_8,normal,vin_112,8,0,1099
train,LFP_normal_vin_112_vin_112_discharge_9,normal,vin_112,9,0,508
train,LFP_normal_vin_112_vin_112_discharge_10,normal,vin_112,10,0,526
train,LFP_normal_vin_113_vin_113_discharge_1,normal,vin_113,1,0,571
train,LFP_normal_vin_113_vin_113_discharge_2,normal,vin_113,2,0,696
train,LFP_normal_vin_113_vin_113_discharge_3,normal,vin_113,3,0,746
train,LFP_normal_vin_113_vin_113_discharge_4,normal,vin_113,4,0,673
train,LFP_normal_vin_113_vin_113_discharge_5,normal,vin_113,5,0,768
train,LFP_normal_vin_113_vin_113_discharge_6,normal,vin_113,6,0,758
train,LFP_normal_vin_113_vin_113_discharge_7,normal,vin_113,7,0,567
train,LFP_normal_vin_113_vin_113_discharge_8,normal,vin_113,8,0,582
train,LFP_normal_vin_113_vin_113_discharge_9,normal,vin_113,9,0,781
train,LFP_normal_vin_113_vin_113_discharge_10,normal,vin_113,10,0,536
train,LFP_normal_vin_114_vin_114_discharge_1,normal,vin_114,1,0,636
train,LFP_normal_vin_114_vin_114_discharge_2,normal,vin_114,2,0,586
train,LFP_normal_vin_114_vin_114_discharge_3,normal,vin_114,3,0,1026
train,LFP_normal_vin_114_vin_114_discharge_4,normal,vin_114,4,0,636
train,LFP_normal_vin_114_vin_114_discharge_5,normal,vin_114,5,0,740
train,LFP_normal_vin_114_vin_114_discharge_6,normal,vin_114,6,0,622
train,LFP_normal_vin_114_vin_114_discharge_7,normal,vin_114,7,0,710
train,LFP_normal_vin_114_vin_114_discharge_8,normal,vin_114,8,0,698
train,LFP_normal_vin_114_vin_114_discharge_9,normal,vin_114,9,0,531
train,LFP_normal_vin_114_vin_114_discharge_10,normal,vin_114,10,0,641
train,LFP_normal_vin_115_vin_115_discharge_1,normal,vin_115,1,0,721
train,LFP_normal_vin_115_vin_115_discharge_2,normal,vin_115,2,0,584
