sample_id,file_path,relative_path,chemistry,fault_type,vin,cycle_kind,cycle_index,sample_label,severity,fault_cell_id,fault_value,fault_unit
LFP_normal_vin_102_vin_102_discharge_1,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_1.csv,LFP/normal/vin_102/vin_102_discharge_1.csv,LFP,normal,vin_102,discharge,1,0,,,,
LFP_normal_vin_102_vin_102_discharge_2,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_2.csv,LFP/normal/vin_102/vin_102_discharge_2.csv,LFP,normal,vin_102,discharge,2,0,,,,
LFP_normal_vin_102_vin_102_discharge_3,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_3.csv,LFP/normal/vin_102/vin_102_discharge_3.csv,LFP,normal,vin_102,discharge,3,0,,,,
LFP_normal_vin_102_vin_102_discharge_4,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_4.csv,LFP/normal/vin_102/vin_102_discharge_4.csv,LFP,normal,vin_102,discharge,4,0,,,,
LFP_normal_vin_102_vin_102_discharge_5,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_5.csv,LFP/normal/vin_102/vin_102_discharge_5.csv,LFP,normal,vin_102,discharge,5,0,,,,
LFP_normal_vin_102_vin_102_discharge_6,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_6.csv,LFP/normal/vin_102/vin_102_discharge_6.csv,LFP,normal,vin_102,discharge,6,0,,,,
LFP_normal_vin_102_vin_102_discharge_7,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_7.csv,LFP/normal/vin_102/vin_102_discharge_7.csv,LFP,normal,vin_102,discharge,7,0,,,,
LFP_normal_vin_102_vin_102_discharge_8,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_8.csv,LFP/normal/vin_102/vin_102_discharge_8.csv,LFP,normal,vin_102,discharge,8,0,,,,
LFP_normal_vin_102_vin_102_discharge_9,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_9.csv,LFP/normal/vin_102/vin_102_discharge_9.csv,LFP,normal,vin_102,discharge,9,0,,,,
LFP_normal_vin_102_vin_102_discharge_10,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_102\vin_102_discharge_10.csv,LFP/normal/vin_102/vin_102_discharge_10.csv,LFP,normal,vin_102,discharge,10,0,,,,
LFP_normal_vin_103_vin_103_discharge_1,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_103\vin_103_discharge_1.csv,LFP/normal/vin_103/vin_103_discharge_1.csv,LFP,normal,vin_103,discharge,1,0,,,,
LFP_normal_vin_103_vin_103_discharge_2,D:\作业\论文复现\基线模型\mtad-gat-pytorch\datasets\CH-BATTERY\LFP\normal\vin_103\vin_103_discharge_2.csv,LFP/normal/vin_103/vin_103_discharge_2.csv,LFP,normal,vin_103,discharge,2,0,,,,
