cycle_number,capacity_mean,capacity_last,pred_error_mean,pred_error_max,recon_error_mean,recon_error_max,score_mean,score_max,score_std,n_points,score_mean_over_threshold,score_max_over_threshold
484,1.3260128,1.3260128,0.18379487,0.18764448,0.1223753,0.13606977,0.30617017,0.3220663,0.009186324,208,1,1
486,1.3180658,1.3107092,0.20609167,0.22492242,0.17938359,0.23547196,0.38547528,0.4603238,0.040950973,3838,1,1
488,1.3101187,1.3101187,0.22528362,0.22869802,0.22495836,0.26544118,0.45024198,0.49218607,0.020218372,307,1,1
490,1.3076675,1.3053985,0.23226479,0.23789811,0.2618994,0.28254938,0.4941642,0.520421,0.020309795,3834,1,1
492,1.3052162,1.3052162,0.23711155,0.24043179,0.2645668,0.31281948,0.50167835,0.551054,0.022619778,306,1,1
494,1.3028119,1.3005899,0.24380034,0.24920726,0.30632675,0.33049512,0.5501271,0.57956934,0.021949174,3725,1,1
496,1.3004062,1.3004062,0.2487414,0.25175047,0.31287858,0.37223387,0.56162,0.62398434,0.028353525,306,1,1
498,1.300321,1.3002422,0.24954642,0.25132084,0.33154342,0.37864017,0.58108985,0.629961,0.020143108,3793,1,1
500,1.3002357,1.3002357,0.24932736,0.25230932,0.31753474,0.38011694,0.5668621,0.63035107,0.029091273,306,1,1
502,1.2948712,1.2899165,0.26224598,0.273844,0.40390643,0.47971368,0.6661524,0.75349855,0.05009941,3700,1,1
504,1.2895067,1.2895067,0.27410555,0.276994,0.4578802,0.5400555,0.73198575,0.8150964,0.045347035,305,1,1
506,1.2843798,1.2796538,0.28628924,0.29713178,0.5487336,0.58802533,0.8350228,0.8851571,0.045487672,3609,1,1
508,1.279253,1.279253,0.29716983,0.2997024,0.57597804,0.5916946,0.87314785,0.891397,0.021574903,304,1,1
510,1.2792304,1.2792095,0.29793674,0.29898334,0.58685046,0.59219813,0.88478726,0.89117956,0.019227795,3805,1,1
512,1.2792078,1.2792078,0.29726776,0.29978585,0.5770565,0.59177804,0.8743243,0.89131975,0.020269563,304,1,1
514,1.276623,1.2742307,0.30372807,0.30933547,0.5937823,0.60118914,0.89751035,0.9103861,0.020809306,3774,1,1
516,1.2740368,1.2740368,0.3089326,0.31140494,0.59901464,0.6018102,0.90794724,0.9117503,0.005589258,304,1,1
518,1.2740821,1.274124,0.3092438,0.31042194,0.5999826,0.60253525,0.9092264,0.91246986,0.010493134,3764,1,1
520,1.2741274,1.2741274,0.3088,0.3112378,0.5989414,0.6018872,0.9077414,0.911294,0.005311621,303,1,1
522,1.2689457,1.264175,0.32054296,0.33158112,0.6065269,0.6141317,0.92706984,0.9456606,0.015227008,3528,1,1
524,1.2637639,1.2637639,0.331249,0.33353853,0.61579776,0.6215024,0.94704676,0.95211124,0.0016118062,303,1,1
526,1.2609507,1.2583501,0.3379213,0.34377456,0.6182367,0.62216234,0.956158,0.96574736,0.0055784285,3717,1,1
528,1.2581373,1.2581373,0.34339118,0.34551,0.62377614,0.6292014,0.9671673,0.9719038,0.0012676566,302,1,1
530,1.2556993,1.2534432,0.3491889,0.35417128,0.62657005,0.6325407,0.97575897,0.9844656,0.004840437,3741,1,1
532,1.2532599,1.2532599,0.3538353,0.35585475,0.6319115,0.63502955,0.98574686,0.9884429,0.0012150073,302,1,1
534,1.2532456,1.2532324,0.35435608,0.35561252,0.6306877,0.64015985,0.98504376,0.9928441,0.00041832495,3827,1,1
536,1.2532313,1.2532313,0.35409215,0.35615158,0.6319658,0.6348381,0.98605794,0.9885483,0.0011823546,302,1,1
538,1.2506593,1.2482893,0.35975155,0.3649063,0.63519794,0.6408284,0.9949495,1.0046906,0.0053123552,3548,1,1
540,1.2480875,1.2480875,0.36503035,0.36711,0.64124787,0.643111,1.0062782,1.0091224,0.0013706543,301,1,1
542,1.2507608,1.2532341,0.3595803,0.36599874,0.63482225,0.6481128,0.9944025,1.0109472,0.005547058,3737,1,1
544,1.2534354,1.2534354,0.35365304,0.35565305,0.6315999,0.63446164,0.9852529,0.98779535,0.001330515,302,1,1
546,1.2716115,1.2884556,0.31485143,0.35300803,0.59824055,0.63758636,0.913092,0.9847188,0.04404798,3821,1,1
547,1.2898049,1.2898049,0.27447435,0.27742004,0.48646164,0.5575714,0.760936,0.83425903,0.047466908,305,1,1
549,1.2766694,1.2645063,0.30383593,0.3306918,0.5856135,0.6126671,0.8894495,0.943244,0.05140507,3828,1,1
551,1.2635401,1.2635401,0.3324854,0.33480597,0.6151616,0.6216712,0.94764704,0.9530592,0.001577178,303,1,1
553,1.2557582,1.2485598,0.34909266,0.3644073,0.62668914,0.6392598,0.9757818,1.0036173,0.01574221,3750,1,1
555,1.2479762,1.2479762,0.36561745,0.3678038,0.6415485,0.64307237,1.007166,1.0103879,0.0014276718,302,1,1
557,1.2400503,1.2327439,0.38203445,0.39738178,0.6553927,0.67117786,1.0374272,1.068552,0.017870283,3563,1,1
559,1.2321203,1.2321203,0.39883378,0.4010961,0.6711278,0.6725805,1.0699615,1.0718455,0.0021242497,302,1,1
561,1.229617,1.2273031,0.4035997,0.40864396,0.6763545,0.68122697,1.0799543,1.0898709,0.0060677608,3690,1,1
