cycle_number,capacity_mean,capacity_last,pred_error_mean,pred_error_max,recon_error_mean,recon_error_max,score_mean,score_max,score_std,n_points,score_mean_over_threshold,score_max_over_threshold
484,1.3260128,1.3260128,0.12203169,0.12203169,0.12949441,0.1892314,0.2515261,0.31126308,0.0071566934,208,0,1
486,1.3180658,1.3107092,0.13681743,0.55627036,0.090483755,0.44083095,0.22730117,0.6899333,0.02530887,3838,0,1
488,1.3101187,1.3101187,0.15136647,0.15136647,0.14777851,0.27862477,0.29914498,0.42999125,0.022226986,307,1,1
490,1.3076675,1.3053985,0.1559861,0.51843953,0.109721765,0.48136044,0.26570788,0.6613908,0.032063473,3834,0,1
492,1.3052162,1.3052162,0.1604147,0.1604147,0.15808858,0.3386984,0.3185033,0.49911308,0.030310852,306,1,1
494,1.3028119,1.3005899,0.16494566,0.50917935,0.12089306,0.4860146,0.28583872,0.67729425,0.03218802,3725,0,1
496,1.3004062,1.3004062,0.16929197,0.16929197,0.16676879,0.35587645,0.33606076,0.5251684,0.03331269,306,1,1
498,1.300321,1.3002422,0.16953231,0.48431396,0.124988176,0.48015594,0.2945205,0.66174316,0.035754975,3793,1,1
500,1.3002357,1.3002357,0.16960669,0.16960669,0.16702206,0.34666967,0.33662876,0.51627636,0.032871075,306,1,1
502,1.2948712,1.2899165,0.17958969,0.47487855,0.13967048,0.482939,0.31926018,0.653317,0.027294658,3700,1,1
504,1.2895067,1.2895067,0.18940854,0.18940854,0.19636154,0.36158872,0.38577008,0.55099726,0.03538838,305,1,1
506,1.2843798,1.2796538,0.198943,0.451684,0.16302074,0.47733307,0.36196375,0.6674957,0.0230353,3609,1,1
508,1.279253,1.279253,0.20833278,0.20833278,0.2163079,0.42396998,0.42464066,0.63230276,0.03396002,304,1,1
510,1.2792304,1.2792095,0.20842981,0.41860414,0.17278647,0.4613266,0.3812163,0.6696625,0.022974968,3805,1,1
512,1.2792078,1.2792078,0.20841622,0.20841622,0.21932948,0.46189523,0.42774573,0.67031145,0.03935794,304,1,1
514,1.276623,1.2742307,0.21323702,0.39778996,0.17750137,0.46201396,0.3907384,0.67079306,0.020860896,3774,1,1
516,1.2740368,1.2740368,0.2179601,0.21796012,0.22619705,0.41577506,0.44415715,0.6337352,0.03754094,304,1,1
518,1.2740821,1.274124,0.21788701,0.25756168,0.18154211,0.43920612,0.39942914,0.6571598,0.022181159,3764,1,1
520,1.2741274,1.2741274,0.21779297,0.21779299,0.22349584,0.41023684,0.4412888,0.6280298,0.03461521,303,1,1
522,1.2689457,1.264175,0.22736323,0.24310374,0.19143546,0.43884254,0.41879869,0.6574092,0.023017738,3528,1,1
524,1.2637639,1.2637639,0.23691987,0.23691988,0.25084695,0.5909848,0.48776683,0.8279047,0.056134198,303,1,1
526,1.2609507,1.2583501,0.24211219,0.24691176,0.19663496,0.4065709,0.43874714,0.64389133,0.013296525,3717,1,1
528,1.2581373,1.2581373,0.24730445,0.24730444,0.29133627,0.63066626,0.53864074,0.8779707,0.07958307,302,1,1
530,1.2556993,1.2534432,0.2518043,0.2559681,0.20362419,0.39443684,0.4554285,0.6420841,0.01019591,3741,1,1
532,1.2532599,1.2532599,0.2563064,0.2563064,0.32801583,0.7099807,0.5843222,0.96628714,0.09378465,302,1,1
534,1.2532456,1.2532324,0.25633278,0.2563572,0.20685364,0.380759,0.46318644,0.6370673,0.009790286,3827,1,1
